"","GEOID","Total_Pop_2022"
"1","17031010100",4284
"2","17031010201",8210
"3","17031010202",2865
"4","17031010300",6237
"5","17031010400",4473
"6","17031010501",3913
"7","17031010502",3407
"8","17031010503",2417
"9","17031010600",6379
"10","17031010701",3590
"11","17031010702",5148
"12","17031020100",3927
"13","17031020200",7203
"14","17031020301",5432
"15","17031020302",5201
"16","17031020400",4256
"17","17031020500",6646
"18","17031020601",5868
"19","17031020602",5343
"20","17031020701",1728
"21","17031020702",8429.6966450715
"22","17031020801",5990
"23","17031020802",8715
"24","17031020901",6179
"25","17031020902",4365
"26","17031030101",3517
"27","17031030102",3052
"28","17031030103",2297
"29","17031030104",3106
"30","17031030200",5554
"31","17031030300",3642
"32","17031030400",2822
"33","17031030500",6344
"34","17031030601",4086.89304072758
"35","17031030603",2305
"36","17031030604",2605.10695927242
"37","17031030701",1509
"38","17031030702",859.485816233142
"39","17031030703",3093
"40","17031030706",3994.51418376686
"41","17031030800",4236
"42","17031030900",3076
"43","17031031000",3652
"44","17031031100",4898
"45","17031031200",5936
"46","17031031300",6853
"47","17031031400",4685
"48","17031031501",4640
"49","17031031502",4622
"50","17031031700",6119
"51","17031031800",2114
"52","17031031900",2417
"53","17031032100",7279
"54","17031040100",4011
"55","17031040201",6688
"56","17031040202",7965
"57","17031040300",3063
"58","17031040401",3431
"59","17031040402",4581
"60","17031040600",2785
"61","17031040700",3749
"62","17031040800",1577
"63","17031040900",2006
"64","17031050100",2513
"65","17031050200",5546
"66","17031050300",2829
"67","17031050500",5199
"68","17031050600",2232
"69","17031050700",1456
"70","17031050800",1398
"71","17031050900",1388
"72","17031051000",1707
"73","17031051100",1905
"74","17031051200",1576
"75","17031051300",3077
"76","17031051400",2535
"77","17031060100",3178
"78","17031060200",2147
"79","17031060300",2821
"80","17031060400",3691
"81","17031060500",1287
"82","17031060800",5319
"83","17031060900",6943
"84","17031061000",2324
"85","17031061100",1436
"86","17031061200",2052
"87","17031061500",2023
"88","17031061800",1204
"89","17031061901",3517
"90","17031061902",4938
"91","17031062000",2890
"92","17031062100",3646
"93","17031062200",3152
"94","17031062300",1609
"95","17031062400",1799
"96","17031062500",1420
"97","17031062600",2371
"98","17031062700",3046
"99","17031062800",3682
"100","17031062900",4138
"101","17031063000",3280
"102","17031063100",2352
"103","17031063200",6380
"104","17031063301",2992
"105","17031063302",4102
"106","17031063303",1198
"107","17031063400",2435
"108","17031070101",4583
"109","17031070102",2980
"110","17031070103",1439
"111","17031070200",4019
"112","17031070300",3818
"113","17031070400",3421
"114","17031070500",3185
"115","17031070600",3194
"116","17031070700",3741
"117","17031071000",4525
"118","17031071100",3186
"119","17031071200",2386
"120","17031071300",4129
"121","17031071400",4763
"122","17031071500",5991
"123","17031071600",1903
"124","17031071700",1485
"125","17031071800",2726
"126","17031080100",6607
"127","17031080201",3236
"128","17031080202",3800
"129","17031080300",5836
"130","17031080400",4888.06202034547
"131","17031081000",8150
"132","17031081100",4455
"133","17031081201",4428
"134","17031081202",3437
"135","17031081300",6014
"136","17031081401",2171
"137","17031081402",5942
"138","17031081403",9764.30388314313
"139","17031081500",4906
"140","17031081600",3725
"141","17031081700",5217
"142","17031081800",12213
"143","17031081900",1111
"144","17031090100",3526
"145","17031090200",6585.98867719537
"146","17031090300",1445.32558139535
"147","17031100100",5890
"148","17031100200",7747.19916202719
"149","17031100300",6263.80083797281
"150","17031100400",3325
"151","17031100500",5804.91914405453
"152","17031100600",4914
"153","17031100700",5372
"154","17031110100",5776
"155","17031110200",2821
"156","17031110300",5304
"157","17031110400",4501
"158","17031110501",5097
"159","17031110502",3533
"160","17031120100",4400
"161","17031120200",4573
"162","17031120300",7046
"163","17031120400",3836
"164","17031130100",4895
"165","17031130200",1545
"166","17031130300",5040
"167","17031140100",3520
"168","17031140200",6603
"169","17031140301",2908
"170","17031140302",3311
"171","17031140400",5911
"172","17031140500",3171
"173","17031140601",2762
"174","17031140602",4703
"175","17031140701",2990
"176","17031140702",5572
"177","17031140800",6212
"178","17031150200",7263
"179","17031150300",7272
"180","17031150401",5146
"181","17031150402",3945
"182","17031150501",3854
"183","17031150502",3953
"184","17031150600",4223
"185","17031150700",4453
"186","17031150800",4668
"187","17031151001",2816
"188","17031151002",4892
"189","17031151100",5447
"190","17031151200",4057
"191","17031160100",2756.81152584084
"192","17031160200",3416.59580223743
"193","17031160300",3685
"194","17031160400",5171
"195","17031160501",3270
"196","17031160502",4012
"197","17031160601",3110.56140705021
"198","17031160602",3649.43859294979
"199","17031160700",6265
"200","17031160800",5236
"201","17031160900",2420
"202","17031161000",1986
"203","17031161100",1964.33653670112
"204","17031161200",2873
"205","17031161300",3769
"206","17031170100",2030
"207","17031170200",3752
"208","17031170300",4981
"209","17031170400",3989
"210","17031170500",5161
"211","17031170600",2490
"212","17031170700",3260
"213","17031170800",4009
"214","17031170900",1970
"215","17031171000",6829
"216","17031171100",4103
"217","17031180100",6544
"218","17031190100",2338
"219","17031190200",5858
"220","17031190300",5289
"221","17031190401",4119
"222","17031190402",4896
"223","17031190601",3986
"224","17031190602",5554
"225","17031190701",2835
"226","17031190702",4707
"227","17031190800",6049
"228","17031190900",1869
"229","17031191000",2556
"230","17031191100",6651
"231","17031191200",3775
"232","17031191301",5211
"233","17031191302",4439
"234","17031200100",3666
"235","17031200200",4435
"236","17031200300",1866
"237","17031200401",3408
"238","17031200402",5072
"239","17031210100",4194
"240","17031210400",2491
"241","17031210501",2866
"242","17031210502",4412
"243","17031210601",2818
"244","17031210602",4362
"245","17031210700",3724
"246","17031210800",1142
"247","17031210900",3174
"248","17031220300",1998
"249","17031220400",2670
"250","17031220500",2685.11111111111
"251","17031220601",1538
"252","17031220602",4440.88888888889
"253","17031220701",3077
"254","17031220702",3959
"255","17031220901",3090
"256","17031220902",3194
"257","17031221000",2571
"258","17031221100",4542
"259","17031221200",2865
"260","17031221300",3011
"261","17031221400",3083
"262","17031221500",2767
"263","17031221600",3388.36928980262
"264","17031222200",2243
"265","17031222500",1357.97794419417
"266","17031222600",1608
"267","17031222700",2202
"268","17031222800",1052
"269","17031222900",986
"270","17031230100",1636
"271","17031230200",1977
"272","17031230300",905
"273","17031230400",2115.81518253363
"274","17031230500",2980.56874614473
"275","17031230600",9076.43125385527
"276","17031230700",5773.18481746637
"277","17031230800",1029
"278","17031230900",4903
"279","17031231100",1362
"280","17031231200",5957
"281","17031231500",5809
"282","17031240200",1966
"283","17031240300",1272
"284","17031240500",2515
"285","17031240600",1639
"286","17031240700",1634
"287","17031240800",1590.02205580583
"288","17031240900",1093
"289","17031241000",1792
"290","17031241100",3650
"291","17031241200",1698
"292","17031241300",1888
"293","17031241400",5584
"294","17031241500",2823
"295","17031241600",3397
"296","17031242000",4378
"297","17031242100",3817
"298","17031242200",4014
"299","17031242300",3805
"300","17031242400",2705
"301","17031242500",3255
"302","17031242600",5512
"303","17031242700",1837
"304","17031242800",1450
"305","17031242900",2032
"306","17031243000",2223
"307","17031243100",2159
"308","17031243200",2329
"309","17031243300",2285
"310","17031243400",2992.71621621622
"311","17031243500",4505.28378378379
"312","17031250200",3051
"313","17031250300",4844
"314","17031250400",5513
"315","17031250500",6903
"316","17031250600",4542
"317","17031250700",6466
"318","17031250800",2693
"319","17031251000",1380
"320","17031251100",4544
"321","17031251200",3840
"322","17031251300",4915
"323","17031251400",3712
"324","17031251500",4324
"325","17031251600",4456
"326","17031251700",1291
"327","17031251800",5399
"328","17031251900",5086
"329","17031252000",6308
"330","17031252101",1492
"331","17031252102",7020
"332","17031252201",3258
"333","17031252202",4945
"334","17031260100",1016
"335","17031260200",1232
"336","17031260300",1878
"337","17031260400",939
"338","17031260500",1767
"339","17031260600",2398
"340","17031260700",1524
"341","17031260800",2001
"342","17031260900",1351
"343","17031261000",2268
"344","17031270500",1380
"345","17031271200",1384
"346","17031271300",964
"347","17031271400",1359
"348","17031271500",1470
"349","17031271800",656
"350","17031280100",7724.72447969859
"351","17031280400",1423
"352","17031280800",852
"353","17031280900",1122
"354","17031281900",6754.27552030141
"355","17031282700",2243
"356","17031282800",1498
"357","17031283100",2630.8579657498
"358","17031283200",1727
"359","17031283800",3504
"360","17031290900",4241
"361","17031291200",1312
"362","17031291600",1429
"363","17031292200",2577.59978479212
"364","17031292400",1765
"365","17031292500",3461
"366","17031300500",3240
"367","17031300600",2844
"368","17031300700",4791
"369","17031300800",4192
"370","17031300900",3937
"371","17031301100",2409
"372","17031301200",5209
"373","17031301600",3247
"374","17031301701",4205
"375","17031301702",4086
"376","17031301801",4086
"377","17031301802",2623
